token	company	director	label
WARREN	BERKSHIRE HATHAWAY INC-CL B	10
E.	BERKSHIRE HATHAWAY INC-CL B	10
BUFFETT	BERKSHIRE HATHAWAY INC-CL B	10
,	BERKSHIRE HATHAWAY INC-CL B	10
age	BERKSHIRE HATHAWAY INC-CL B	10
88	BERKSHIRE HATHAWAY INC-CL B	10
,	BERKSHIRE HATHAWAY INC-CL B	10
has	BERKSHIRE HATHAWAY INC-CL B	10
been	BERKSHIRE HATHAWAY INC-CL B	10
a	BERKSHIRE HATHAWAY INC-CL B	10
director	BERKSHIRE HATHAWAY INC-CL B	10
and	BERKSHIRE HATHAWAY INC-CL B	10
the	BERKSHIRE HATHAWAY INC-CL B	10
controlling	BERKSHIRE HATHAWAY INC-CL B	10
shareholder	BERKSHIRE HATHAWAY INC-CL B	10
of	BERKSHIRE HATHAWAY INC-CL B	10
the	BERKSHIRE HATHAWAY INC-CL B	10
Corporation	BERKSHIRE HATHAWAY INC-CL B	10
since	BERKSHIRE HATHAWAY INC-CL B	10
1965	BERKSHIRE HATHAWAY INC-CL B	10
and	BERKSHIRE HATHAWAY INC-CL B	10
has	BERKSHIRE HATHAWAY INC-CL B	10
been	BERKSHIRE HATHAWAY INC-CL B	10
its	BERKSHIRE HATHAWAY INC-CL B	10
Chairman	BERKSHIRE HATHAWAY INC-CL B	10
and	BERKSHIRE HATHAWAY INC-CL B	10
Chief	BERKSHIRE HATHAWAY INC-CL B	10
Executive	BERKSHIRE HATHAWAY INC-CL B	10
Officer	BERKSHIRE HATHAWAY INC-CL B	10
since	BERKSHIRE HATHAWAY INC-CL B	10
1970	BERKSHIRE HATHAWAY INC-CL B	10
.	BERKSHIRE HATHAWAY INC-CL B	10

Mr.	BERKSHIRE HATHAWAY INC-CL B	10
Buffett	BERKSHIRE HATHAWAY INC-CL B	10
was	BERKSHIRE HATHAWAY INC-CL B	10
a	BERKSHIRE HATHAWAY INC-CL B	10
director	BERKSHIRE HATHAWAY INC-CL B	10
of	BERKSHIRE HATHAWAY INC-CL B	10
The	BERKSHIRE HATHAWAY INC-CL B	10
Kraft	BERKSHIRE HATHAWAY INC-CL B	10
Heinz	BERKSHIRE HATHAWAY INC-CL B	10
Company	BERKSHIRE HATHAWAY INC-CL B	10
until	BERKSHIRE HATHAWAY INC-CL B	10
April	BERKSHIRE HATHAWAY INC-CL B	10
2018	BERKSHIRE HATHAWAY INC-CL B	10
.	BERKSHIRE HATHAWAY INC-CL B	10

Additional	BERKSHIRE HATHAWAY INC-CL B	10
Qualifications	BERKSHIRE HATHAWAY INC-CL B	10
:	BERKSHIRE HATHAWAY INC-CL B	10
Warren	BERKSHIRE HATHAWAY INC-CL B	10
Buffett	BERKSHIRE HATHAWAY INC-CL B	10
brings	BERKSHIRE HATHAWAY INC-CL B	10
to	BERKSHIRE HATHAWAY INC-CL B	10
the	BERKSHIRE HATHAWAY INC-CL B	10
Board	BERKSHIRE HATHAWAY INC-CL B	10
his	BERKSHIRE HATHAWAY INC-CL B	10
49	BERKSHIRE HATHAWAY INC-CL B	10
years	BERKSHIRE HATHAWAY INC-CL B	10
of	BERKSHIRE HATHAWAY INC-CL B	10
experience	BERKSHIRE HATHAWAY INC-CL B	10
as	BERKSHIRE HATHAWAY INC-CL B	10
Chairman	BERKSHIRE HATHAWAY INC-CL B	10
and	BERKSHIRE HATHAWAY INC-CL B	10
Chief	BERKSHIRE HATHAWAY INC-CL B	10
Executive	BERKSHIRE HATHAWAY INC-CL B	10
Officer	BERKSHIRE HATHAWAY INC-CL B	10
of	BERKSHIRE HATHAWAY INC-CL B	10
the	BERKSHIRE HATHAWAY INC-CL B	10
Corporation	BERKSHIRE HATHAWAY INC-CL B	10
.	BERKSHIRE HATHAWAY INC-CL B	10

GREGORY	BERKSHIRE HATHAWAY INC-CL B	11
E.	BERKSHIRE HATHAWAY INC-CL B	11
ABEL	BERKSHIRE HATHAWAY INC-CL B	11
,	BERKSHIRE HATHAWAY INC-CL B	11
age	BERKSHIRE HATHAWAY INC-CL B	11
56	BERKSHIRE HATHAWAY INC-CL B	11
,	BERKSHIRE HATHAWAY INC-CL B	11
was	BERKSHIRE HATHAWAY INC-CL B	11
elected	BERKSHIRE HATHAWAY INC-CL B	11
a	BERKSHIRE HATHAWAY INC-CL B	11
director	BERKSHIRE HATHAWAY INC-CL B	11
of	BERKSHIRE HATHAWAY INC-CL B	11
the	BERKSHIRE HATHAWAY INC-CL B	11
Corporation	BERKSHIRE HATHAWAY INC-CL B	11
and	BERKSHIRE HATHAWAY INC-CL B	11
the	BERKSHIRE HATHAWAY INC-CL B	11
Corporation	BERKSHIRE HATHAWAY INC-CL B	11
's	BERKSHIRE HATHAWAY INC-CL B	11
Vice	BERKSHIRE HATHAWAY INC-CL B	11
Chairman	BERKSHIRE HATHAWAY INC-CL B	11
–	BERKSHIRE HATHAWAY INC-CL B	11
Non	BERKSHIRE HATHAWAY INC-CL B	11
Insurance	BERKSHIRE HATHAWAY INC-CL B	11
Operations	BERKSHIRE HATHAWAY INC-CL B	11
on	BERKSHIRE HATHAWAY INC-CL B	11
January	BERKSHIRE HATHAWAY INC-CL B	11
9	BERKSHIRE HATHAWAY INC-CL B	11
,	BERKSHIRE HATHAWAY INC-CL B	11
2018	BERKSHIRE HATHAWAY INC-CL B	11
.	BERKSHIRE HATHAWAY INC-CL B	11

Between	BERKSHIRE HATHAWAY INC-CL B	11
2008	BERKSHIRE HATHAWAY INC-CL B	11
and	BERKSHIRE HATHAWAY INC-CL B	11
January	BERKSHIRE HATHAWAY INC-CL B	11
9	BERKSHIRE HATHAWAY INC-CL B	11
,	BERKSHIRE HATHAWAY INC-CL B	11
2018	BERKSHIRE HATHAWAY INC-CL B	11
,	BERKSHIRE HATHAWAY INC-CL B	11
Mr.	BERKSHIRE HATHAWAY INC-CL B	11
Abel	BERKSHIRE HATHAWAY INC-CL B	11
served	BERKSHIRE HATHAWAY INC-CL B	11
as	BERKSHIRE HATHAWAY INC-CL B	11
the	BERKSHIRE HATHAWAY INC-CL B	11
Chief	BERKSHIRE HATHAWAY INC-CL B	11
Executive	BERKSHIRE HATHAWAY INC-CL B	11
Officer	BERKSHIRE HATHAWAY INC-CL B	11
of	BERKSHIRE HATHAWAY INC-CL B	11
Berkshire	BERKSHIRE HATHAWAY INC-CL B	11
Hathaway	BERKSHIRE HATHAWAY INC-CL B	11
Energy	BERKSHIRE HATHAWAY INC-CL B	11
Company	BERKSHIRE HATHAWAY INC-CL B	11
(	BERKSHIRE HATHAWAY INC-CL B	11
“	BERKSHIRE HATHAWAY INC-CL B	11
BHE	BERKSHIRE HATHAWAY INC-CL B	11
”	BERKSHIRE HATHAWAY INC-CL B	11
)	BERKSHIRE HATHAWAY INC-CL B	11
,	BERKSHIRE HATHAWAY INC-CL B	11
a	BERKSHIRE HATHAWAY INC-CL B	11
90.9	BERKSHIRE HATHAWAY INC-CL B	11
%	BERKSHIRE HATHAWAY INC-CL B	11
owned	BERKSHIRE HATHAWAY INC-CL B	11
subsidiary	BERKSHIRE HATHAWAY INC-CL B	11
of	BERKSHIRE HATHAWAY INC-CL B	11
